,,,,,,,
,NodeID,Latitude(North),Longitude(West),Neighbors,Category,Name:,Other Categories:
,92,38.0663054,-121.4181959,"[91, 86]",16,Bishop Cut,
,93,38.0725511,-121.4027312,[92],12,Bishop Duct,
,94,38.0963258,-121.4032526,"[52, 93]",16,Bishop to superduct feeder Connector,
,95,38.0690061,-121.9376204,[15],14,Honker Bay,
,96,38.0661357,-122.0206555,"[95, 97]",14,Suisun Bay,
,97,38.1154219,-122.0196901,"[96, 95]",14,Grizzly Bay,
,98,38.0559374,-122.1842615,"[97, 96, 99]",16,Crockett Connector,
,99,38.0522062,-122.3962584,[98],14,San Pablo Bay,
,100,37.9708048,-122.4390299,"[99, 101]",16,San pablo Straight,
,101,37.8649532,-122.3869978,"[100, 102]",14,San Francisco Bay,
,102,37.7811594,-122.5944671,[101],17,Pacific Ocean,
